source_id,title,document_type,accession_no,filed_date,accepted_at_utc,period_reported,source_url,local_path,sha256,retrieved_at_utc,original_or_recast,definition_notes,review_status
SRC-Q3-2023,Coinbase Q3 2023 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-23-000112,2023-11-02,2023-11-02T20:05:49Z,2023-Q3,https://www.sec.gov/Archives/edgar/data/1679788/000167978823000112/secshareholderletterq320.htm,data/raw/q3-2023-shareholder-letter.html,f6ebbe03dd52843830b408e76a18a034157c2c7f2e99658677df17d9deef39d8,2026-09-20T17:14:45Z,original,"Consumer revenue includes Base and payment-related revenue; trading volume is matched spot volume.",reviewed
SRC-Q4-2023,Coinbase Q4 2023 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-24-000019,2024-02-15,2024-02-15T21:06:47Z,2023-Q4,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000019/shareholderletterq42023.htm,data/raw/q4-2023-shareholder-letter.html,802d0ea566d55506930102bf4eaefe702dfa0c4e17ff11b2721f1b20a0d48fef,2026-09-20T17:14:45Z,original,"Consumer revenue includes Base and payment-related revenue; trading volume is matched spot volume.",reviewed
SRC-Q1-2024,Coinbase Q1 2024 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-24-000087,2024-05-02,2024-05-02T20:02:51Z,2024-Q1,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000087/secshareholderletterq120.htm,data/raw/q1-2024-shareholder-letter.html,072570b217459612c2b179559c77fd8ca93dde3c51d14236978edb9ffdc1b7a6,2026-09-20T17:14:45Z,original-and-recast,"Introduces other transaction revenue; Base and payment-related revenue moved out of consumer and prior periods recast. Trading volume remains matched spot volume.",reviewed
SRC-Q2-2024,Coinbase Q2 2024 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-24-000148,2024-08-01,2024-08-01T20:12:12Z,2024-Q2,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000148/q224shareholderletter.htm,data/raw/q2-2024-shareholder-letter.html,c4ad14ec78894a3f7f0bf53bb94272c67ca759cfb4e9d77f762dae0db072d983,2026-09-20T17:14:45Z,original,"Post-reclassification consumer revenue; letter warns that some consumer revenue is not directly associated with reported spot volume.",reviewed
SRC-Q3-2024,Coinbase Q3 2024 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-24-000186,2024-10-30,2024-10-30T20:10:05Z,2024-Q3,https://www.sec.gov/Archives/edgar/data/1679788/000167978824000186/q324shareholderletter.htm,data/raw/q3-2024-shareholder-letter.html,7c2282bd50be02157f5e1dfe27456fbad2bc88c8339b7d93201818aef2b9ffb1,2026-09-20T17:14:45Z,original,"Post-reclassification consumer revenue; trading volume is matched spot volume.",reviewed
SRC-Q4-2024,Coinbase Q4 2024 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-25-000021,2025-02-13,2025-02-13T21:10:21Z,2024-Q4,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000021/q424shareholderletter.htm,data/raw/q4-2024-shareholder-letter.html,7901f5d834ac27f9de99ceddb62e7fa734e56c004ae208be30680103f4202304,2026-09-20T17:14:45Z,original,"Post-reclassification consumer revenue; trading volume excludes derivatives.",reviewed
SRC-Q1-2025,Coinbase Q1 2025 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-25-000088,2025-05-08,2025-05-08T20:15:55Z,2025-Q1,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000088/q125shareholderletter.htm,data/raw/q1-2025-shareholder-letter.html,f85512aabb5d31be302675a5093344d1c2089600ed6ba49ecd45b850ab86db30,2026-09-20T17:14:45Z,original,"Post-reclassification consumer revenue; trading volume is matched spot volume.",reviewed
SRC-Q2-2025,Coinbase Q2 2025 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-25-000153,2025-07-31,2025-07-31T20:07:07Z,2025-Q2,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000153/q225shareholderletter.htm,data/raw/q2-2025-shareholder-letter.html,1af6ae1124356154d6583437e5d3ebc91acab60f73b9809756a6ed5ab14d578b,2026-09-20T17:14:45Z,original,"Post-reclassification consumer revenue; trading volume is matched spot volume.",reviewed
SRC-Q3-2025,Coinbase Q3 2025 Shareholder Letter,SEC 8-K Exhibit 99.1,0001679788-25-000207,2025-10-30,2025-10-30T20:06:41Z,2025-Q3,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000207/q325shareholderletter.htm,data/raw/q3-2025-shareholder-letter.html,c8cac51f49e803d015b3200bfba32be8a2fee23a77e5a3eb8d7e119b199e0a51,2026-09-20T17:14:45Z,original,"Post-reclassification consumer revenue; trading volume is matched spot volume. Last quarter before the later Q4 2025 volume-definition change.",reviewed
SRC-2025-10K,Coinbase 2025 Form 10-K,SEC Form 10-K,0001679788-26-000015,2026-02-12,2026-02-12T21:29:17Z,2025-FY,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000015/coin-20251231.htm,data/raw/coin-20251231-10k.html,54b98a8bacc795a1fc0bb65613793ce18a172c276b5cb399f3c6cbc24208d688,2026-09-20T00:00:00Z,original-and-recast,"Defines the later Trading Volume presentation and recasts prior periods; supports quarantining Q4 2025 and later from the pre-change comparable panel.",reviewed
