observation_id,period,period_end,metric_name,value_decimal,currency,scale,definition_family,metric_definition_family,vintage_status,source_id,published_at,analysis_use
OBS-2023Q3-REV-RECAST,2023-Q3,2023-09-30,consumer_transaction_revenue,247.0,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,recast,SRC-Q1-2024,2024-05-02T20:02:51Z,descriptive_only
OBS-2023Q3-VOL-ORIG,2023-Q3,2023-09-30,consumer_trading_volume,11,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q3-2023,2023-11-02T20:05:49Z,descriptive_only
OBS-2023Q4-REV-RECAST,2023-Q4,2023-12-31,consumer_transaction_revenue,468.9,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,recast,SRC-Q1-2024,2024-05-02T20:02:51Z,descriptive_only
OBS-2023Q4-VOL-ORIG,2023-Q4,2023-12-31,consumer_trading_volume,29,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q4-2023,2024-02-15T21:06:47Z,descriptive_only
OBS-2024Q1-REV-ORIG,2024-Q1,2024-03-31,consumer_transaction_revenue,935.2,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q1-2024,2024-05-02T20:02:51Z,descriptive_only
OBS-2024Q1-VOL-ORIG,2024-Q1,2024-03-31,consumer_trading_volume,56,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q1-2024,2024-05-02T20:02:51Z,descriptive_only
OBS-2024Q2-REV-ORIG,2024-Q2,2024-06-30,consumer_transaction_revenue,664.8,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q2-2024,2024-08-01T20:12:12Z,descriptive_only
OBS-2024Q2-VOL-ORIG,2024-Q2,2024-06-30,consumer_trading_volume,37,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q2-2024,2024-08-01T20:12:12Z,descriptive_only
OBS-2024Q3-REV-ORIG,2024-Q3,2024-09-30,consumer_transaction_revenue,483.3,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q3-2024,2024-10-30T20:10:05Z,descriptive_only
OBS-2024Q3-VOL-ORIG,2024-Q3,2024-09-30,consumer_trading_volume,34,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q3-2024,2024-10-30T20:10:05Z,descriptive_only
OBS-2024Q4-REV-ORIG,2024-Q4,2024-12-31,consumer_transaction_revenue,1347.1,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q4-2024,2025-02-13T21:10:21Z,descriptive_only
OBS-2024Q4-VOL-ORIG,2024-Q4,2024-12-31,consumer_trading_volume,94,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q4-2024,2025-02-13T21:10:21Z,descriptive_only
OBS-2025Q1-REV-ORIG,2025-Q1,2025-03-31,consumer_transaction_revenue,1095.5,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q1-2025,2025-05-08T20:15:55Z,descriptive_only
OBS-2025Q1-VOL-ORIG,2025-Q1,2025-03-31,consumer_trading_volume,78.1,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q1-2025,2025-05-08T20:15:55Z,descriptive_only
OBS-2025Q2-REV-ORIG,2025-Q2,2025-06-30,consumer_transaction_revenue,649.9,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q2-2025,2025-07-31T20:07:07Z,descriptive_only
OBS-2025Q2-VOL-ORIG,2025-Q2,2025-06-30,consumer_trading_volume,43,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q2-2025,2025-07-31T20:07:07Z,descriptive_only
OBS-2025Q3-REV-ORIG,2025-Q3,2025-09-30,consumer_transaction_revenue,843.5,USD,millions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,REV-POST-2024Q1,original,SRC-Q3-2025,2025-10-30T20:06:41Z,descriptive_only
OBS-2025Q3-VOL-ORIG,2025-Q3,2025-09-30,consumer_trading_volume,59,USD,billions,PAIR-REV-POST2024Q1-VOL-SPOT-PRE2025Q4,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q3-2025,2025-10-30T20:06:41Z,descriptive_only
